family,wnid,pred_wnid,in_group,n,true_name,pred_name,n_total_wrong,pct_of_class_errors
CNN,n03710637,n03710721,True,620,maillot,maillot,2105,29.5
ViT,n03710637,n03710721,True,519,maillot,maillot,1383,37.5
CNN,n04263257,n07584110,False,405,soup_bowl,consomme,1880,21.5
CNN,n01775062,n01773549,True,401,wolf_spider,barn_spider,1579,25.4
CNN,n03832673,n03642806,True,356,notebook,laptop,1989,17.9
ViT,n04263257,n07584110,False,354,soup_bowl,consomme,1217,29.1
ViT,n01775062,n01773549,True,342,wolf_spider,barn_spider,1070,32.0
ViT,n03832673,n03642806,True,313,notebook,laptop,1277,24.5
CNN,n02808440,n04493381,True,298,bathtub,tub,2031,14.7
CNN,n01667114,n01667778,True,266,mud_turtle,terrapin,1791,14.9
CNN,n03782006,n04152593,True,243,monitor,screen,2036,11.9
CNN,n03866082,n03534580,True,242,overskirt,hoopskirt,2018,12.0
CNN,n03450230,n03534580,True,235,gown,hoopskirt,1732,13.6
CNN,n03063599,n07930864,False,221,coffee_mug,cup,1878,11.8
ViT,n03782006,n04152593,True,220,monitor,screen,1364,16.1
CNN,n04004767,n03924679,True,216,printer,photocopier,1945,11.1
ViT,n02808440,n04493381,True,211,bathtub,tub,1304,16.2
ViT,n01667114,n01667778,True,208,mud_turtle,terrapin,1204,17.3
ViT,n03450230,n03534580,True,201,gown,hoopskirt,1150,17.5
ViT,n04004767,n03924679,True,198,printer,photocopier,1266,15.6
CNN,n04560804,n03950228,True,187,water_jug,pitcher,2033,9.2
CNN,n03950228,n04560804,True,183,pitcher,water_jug,1816,10.1
CNN,n02769748,n03709823,True,182,backpack,mailbag,2053,8.9
CNN,n04026417,n04548362,True,182,purse,wallet,1940,9.4
ViT,n04356056,n04355933,True,181,sunglasses,sunglass,1292,14.0
ViT,n03866082,n03534580,True,180,overskirt,hoopskirt,1370,13.1
ViT,n03063599,n07930864,False,180,coffee_mug,cup,1192,15.1
CNN,n02124075,n02123045,True,177,Egyptian_cat,tabby,1838,9.6
CNN,n01755581,n04525038,False,177,diamondback,velvet,1730,10.2
CNN,n04462240,n03598930,False,172,toyshop,jigsaw_puzzle,1776,9.7
CNN,n06596364,n03598930,False,168,comic_book,jigsaw_puzzle,1666,10.1
CNN,n04356056,n04355933,True,166,sunglasses,sunglass,1919,8.7
CNN,n06596364,n07248320,False,164,comic_book,book_jacket,1666,9.8
ViT,n04392985,n02979186,True,164,tape_player,cassette_player,1332,12.3
ViT,n02124075,n02123045,True,164,Egyptian_cat,tabby,1219,13.5
CNN,n01729322,n01753488,True,162,hognose_snake,horned_viper,1772,9.1
CNN,n02840245,n03291819,False,161,binder,envelope,1738,9.3
CNN,n03661043,n02871525,True,158,library,bookshop,1808,8.7
CNN,n04033995,n04344873,False,153,quilt,studio_couch,1800,8.5
CNN,n04392985,n02979186,True,151,tape_player,cassette_player,1909,7.9
ViT,n04560804,n03950228,True,150,water_jug,pitcher,1382,10.9
CNN,n04041544,n04392985,True,149,radio,tape_player,1899,7.8
CNN,n04090263,n02749479,True,148,rifle,assault_rifle,1896,7.8
CNN,n02988304,n02979186,True,147,CD_player,cassette_player,1871,7.9
ViT,n02769748,n03709823,True,145,backpack,mailbag,1358,10.7
CNN,n03089624,n03598930,False,144,confectionery,jigsaw_puzzle,1815,7.9
CNN,n02971356,n03291819,True,142,carton,envelope,1912,7.4
CNN,n03887697,n15075141,False,139,paper_towel,toilet_tissue,1815,7.7
ViT,n02988304,n02979186,True,139,CD_player,cassette_player,1217,11.4
CNN,n01737021,n04525038,False,138,water_snake,velvet,1768,7.8
ViT,n03089624,n04443257,True,136,confectionery,tobacco_shop,1202,11.3
ViT,n01755581,n01756291,True,136,diamondback,sidewinder,1145,11.9
CNN,n04325704,n03980874,True,135,stole,poncho,1730,7.8
CNN,n04239074,n04589890,False,135,sliding_door,window_screen,1946,6.9
ViT,n03710637,n02837789,True,135,maillot,bikini,1383,9.8
CNN,n01755581,n01753488,True,135,diamondback,horned_viper,1730,7.8
CNN,n02988304,n04392985,True,133,CD_player,tape_player,1871,7.1
ViT,n04033995,n04344873,False,132,quilt,studio_couch,1149,11.5
CNN,n09246464,n09193705,True,132,cliff,alp,1843,7.2
CNN,n03782006,n03180011,True,132,monitor,desktop_computer,2036,6.5
ViT,n02971356,n03291819,True,132,carton,envelope,1308,10.1
CNN,n01740131,n01753488,True,131,night_snake,horned_viper,2018,6.5
ViT,n07871810,n07579787,True,130,meat_loaf,plate,1165,11.2
CNN,n04133789,n03047690,True,130,sandal,clog,1795,7.2
ViT,n04548362,n03291819,True,129,wallet,envelope,1258,10.3
CNN,n03216828,n03947888,False,128,dock,pirate,1974,6.5
CNN,n03782006,n04404412,True,128,monitor,television,2036,6.3
ViT,n04090263,n02749479,True,127,rifle,assault_rifle,1286,9.9
CNN,n03871628,n03485794,False,126,packet,handkerchief,1849,6.8
CNN,n04239074,n04550184,False,125,sliding_door,wardrobe,1946,6.4
ViT,n03782006,n03180011,True,125,monitor,desktop_computer,1364,9.2
CNN,n01742172,n01744401,True,123,boa_constrictor,rock_python,1610,7.6
CNN,n04560804,n03063689,True,122,water_jug,coffeepot,2033,6.0
CNN,n04239074,n04201297,False,120,sliding_door,shoji,1946,6.2
CNN,n03661043,n03598930,False,119,library,jigsaw_puzzle,1808,6.6
CNN,n03089624,n04443257,True,118,confectionery,tobacco_shop,1815,6.5
ViT,n02840245,n03291819,False,118,binder,envelope,1142,10.3
CNN,n01729322,n04525038,False,117,hognose_snake,velvet,1772,6.6
CNN,n04550184,n04201297,False,117,wardrobe,shoji,1647,7.1
ViT,n07614500,n07836838,True,114,ice_cream,chocolate_sauce,1284,8.9
CNN,n01740131,n04525038,False,113,night_snake,velvet,2018,5.6
CNN,n04200800,n03598930,False,112,shoe_shop,jigsaw_puzzle,1727,6.5
ViT,n03216828,n03947888,False,111,dock,pirate,1306,8.5
